,NCBI,massI,massS,massAvg,refmass,Maxspeed,refspeed,speedHirt,spdMissing,Stance,Diet,D3files,nofiles,Long,Rmax,Rmin,Rmed,La,LrL,LrLa,LrRmin,LrRmax,LrRmed,Morphotype,Sci_name,common_name,lineage,lineage_names,order,family
192726,192726,0.35,0.35,0.35,ADW,,,19.408763673109778,19.408763673109778,Plantigrade,omnivore,"['ID 000034160', 'ID 000034164']",2,32.295,1.6817046369847404,0.7867124107182193,1.2942189333199243,5.275665592171988,32.35,5.286227116573813,0.7403955132588319,1.6568610993893527,1.2787760988434886,1,Urogale everetti,Na,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314146, 9392, 9393, 192725, 192726]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Scandentia', 'Tupaiidae', 'Urogale', 'Urogale everetti']",Scandentia,Tupaiidae
27596,27596,90.0,225.0,157.5,ADW,,,62.001785019762075,62.001785019762075,Ungulates,herbivore,"['ID 000398560', 'ID 000398733']",2,207.0,15.17021560615413,9.154700748851177,12.398892207810393,45.09823655045763,207.6,45.12480880742157,8.920465800021333,15.441531575778313,12.462016267361937,2,Bubalus depressicornis,lowland anoa,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 91561, 9845, 35500, 9895, 27592, 9918, 27596]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bubalus', 'Bubalus depressicornis']",Artiodactyla,Bovidae
29073,29073,265.0,265.0,265.0,Iriarte-diaz_2002_differential scaling of locomotor performance in small and large mammals,40.0,Garland_1993_Does metatarsal/femur ratio predict maximal running speed,58.59546892035047,40.0,Plantigrade,carnivore,['ID 000169471'],1,259.7,21.191310273675175,8.115038955669272,14.597801319271596,74.6299519033615,259.7,74.6299519033615,8.115038955669272,21.191310273675175,14.597801319271596,1,Ursus maritimus,polar bear,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 33554, 379584, 9632, 9639, 29073]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Ursidae', 'Ursus', 'Ursus maritimus']",Carnivora,Ursidae
29139,29139,22.0,40.0,31.0,https://www.gbif.org/,40.23,https://a-z-animals.com/,58.49634369201293,40.23,Plantigrade,herbivore,['ID 000446918'],1,124.8,10.39325550258281,2.964268550910309,7.288898699258478,34.20124721536311,124.8,34.20124721536311,2.964268550910309,10.39325550258281,7.288898699258478,1,Vombatus ursinus,common wombat,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9263, 38609, 9338, 29138, 29139]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Metatheria', 'Diprotodontia', 'Vombatidae', 'Vombatus', 'Vombatus ursinus']",Diprotodontia,Vombatidae
30520,30520,590.0,941.0,765.5,Mammals Species,,,48.14683744510266,48.14683744510266,Ungulates,herbivore,"['ID 000398890', 'ID 000398903']",2,313.95000000000005,26.514114499790153,13.392818569891338,21.086350829438445,85.36577087735301,321.3,90.47841102077206,14.240998189383863,27.324345601675848,22.228532657585006,2,Bos frontalis,gayal,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 91561, 9845, 35500, 9895, 27592, 9903, 30520]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bos', 'Bos frontalis']",Artiodactyla,Bovidae
30521,30521,300.0,1000.0,650.0,ADW,,,49.91250793527406,49.91250793527406,Ungulates,herbivore,"['ID 000398546', 'ID 000398803']",2,302.85,23.47883246369326,15.367579271924534,18.878597165248415,74.38181537996459,319.0,81.47488356945857,16.969789259619006,25.752222258702535,20.376558506442816,2,Bos grunniens,domestic yak,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 91561, 9845, 35500, 9895, 27592, 9903, 30521]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bos', 'Bos grunniens']",Artiodactyla,Bovidae
30554,30554,4.0,12.0,8.0,ADW,30.0,https://a-z-animals.com/,43.70785307830566,30.0,Plantigrade,carnivore,"['ID 000106526', 'ID 000106542']",2,101.35,7.170010492207445,3.568113980279825,5.550573291679299,21.329016636130557,101.5,21.565177094229135,3.446066721428557,6.999295645374481,5.48860498510854,1,Taxidea taxus,American badger,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 33554, 379584, 9655, 1008263, 30553, 30554]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Mustelidae', 'Taxidiinae', 'Taxidea', 'Taxidea taxus']",Carnivora,Mustelidae
30668,30668,17.5,36.0,26.75,https://www.gbif.org/,40.0,https://animalia.bio/,57.12610537518069,40.0,Plantigrade,herbivore,['ID 000446905'],1,111.7,8.188800954539326,3.238652138065744,6.508008187618889,32.705806289876875,111.7,32.705806289876875,3.238652138065744,8.188800954539326,6.508008187618889,1,Lasiorhinus latifrons,southern hairy-nosed wombat,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9263, 38609, 9338, 30666, 30668]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Metatheria', 'Diprotodontia', 'Vombatidae', 'Lasiorhinus', 'Lasiorhinus latifrons']",Diprotodontia,Vombatidae
310713,310713,1000.0,3600.0,2300.0,ADW,39.99,Christansen_2002_Locomotion in terrestrial mammals,36.378953068794225,39.99,Ungulates,herbivore,"['ID 000364703', 'ID 000364758', 'ID 000364783', 'ID 000364808', 'ID 000364833', 'ID 000364858', 'ID 000364883', 'ID 000364908', 'ID 000420905', 'ID 000420938', 'ID 000420972', 'ID 000421003']",12,396.64166666666665,50.66729796498466,22.042357031238932,35.79984873437175,109.77940448829891,420.4,118.52547917485361,24.36289937284048,56.52204768544228,39.40960811348764,1,Ceratotherium simum cottoni,northern white rhinoceros,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 9787, 9803, 9806, 9807, 310713]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Perissodactyla', 'Rhinocerotidae', 'Ceratotherium', 'Ceratotherium simum', 'Ceratotherium simum cottoni']",Perissodactyla,Rhinocerotidae
320338,320338,0.05,0.06,0.055,https://www.gbif.org/,,,11.995945381169188,11.995945381169188,Plantigrade,omnivore,['ID 000096392'],1,22.12,1.058359648221256,0.4853091061090404,0.7315851860592298,3.6534508633179055,22.12,3.6534508633179055,0.4853091061090404,1.058359648221256,0.7315851860592298,1,Ptilocercus lowii,pen-tailed tree shrew,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314146, 9392, 9393, 320337, 320338]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Scandentia', 'Tupaiidae', 'Ptilocercus', 'Ptilocercus lowii']",Scandentia,Tupaiidae
320359,320359,0.05,0.3,0.175,ADW,,,16.20802407445416,16.20802407445416,Plantigrade,carnivore,"['ID 000036015', 'ID 000036041']",2,27.32,1.2515533974151023,0.6284803747959666,0.9441871207867383,3.765420751450435,27.39,3.8205336951001447,0.6237027127649356,1.2407762720493822,0.9370062939023758,1,Tupaia palawanensis,Palawan tree shrew,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314146, 9392, 9393, 9394, 320359]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Scandentia', 'Tupaiidae', 'Tupaia', 'Tupaia palawanensis']",Scandentia,Tupaiidae
32534,32534,11.2,19.3,15.25,ADW,48.28,https://www.animalspot.net,51.07371065338654,48.28,Digitigrade,carnivore,['ID 000158186'],1,185.1,11.573160761748198,5.589328271815152,7.627974393057159,21.847625060692806,185.1,21.847625060692806,5.589328271815152,11.573160761748198,7.627974393057159,1,Canis simensis,Ethiopian wolf,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 33554, 379584, 9608, 9611, 32534]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Canidae', 'Canis', 'Canis simensis']",Carnivora,Canidae
32536,32536,39.0,39.0,39.0,Christansen_2002_Locomotion in terrestrial mammals,104.95,Christansen_2002_Locomotion in terrestrial mammals,60.35357226032638,104.95,Digitigrade,carnivore,"['ID 000031645', 'ID 000158176']",2,230.0,11.652804019590704,5.165806409804753,8.381564295809518,28.750819167084366,241.9,30.792758830498883,5.06131490942049,12.357659910291533,8.729325840566961,1,Acinonyx jubatus,cheetah,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 33554, 379583, 9681, 338151, 32535, 32536]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Felidae', 'Acinonychinae', 'Acinonyx', 'Acinonyx jubatus']",Carnivora,Felidae
32538,32538,6.6,15.5,11.05,https://www.gbif.org/,61.16,https://a-z-animals.com/,47.36128736364054,61.16,Digitigrade,carnivore,['ID 000031875'],1,153.6,8.3858069196734,4.247664219477028,6.078045177429614,22.43708227207714,153.6,22.43708227207714,4.247664219477028,8.3858069196734,6.078045177429614,1,Leopardus pardalis,ocelot,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 33554, 379583, 9681, 338152, 46841, 32538]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Felidae', 'Felinae', 'Leopardus', 'Leopardus pardalis']",Carnivora,Felidae
